# Selection     : patch(outlet)
# Faces         : 27
# Area          : 7.55174207e-05
# Time          	sum(alphaPhi.gas)
0.05            	0.00000000e+00
0.0513104       	-5.91006578e-07
0.0541074       	1.28850113e-06
0.0580321       	-3.36704127e-06
0.0604577       	1.86735096e-06
0.0623345       	-4.43569090e-08
0.0639563       	3.01379436e-06
0.0653605       	-1.31309782e-06
