# Selection     : patch(outlet)
# Faces         : 27
# Area          : 7.55174207e-05
# Time          	sum(alphaPhi.gas)
0               	0.00000000e+00
0.00031112      	-3.77725873e-07
0.00221879      	-3.50273153e-07
0.00671578      	7.09760169e-08
0.0113443       	4.08508514e-08
0.0162316       	4.21598338e-08
0.0209911       	4.37049293e-08
0.025861        	8.62932092e-08
0.0308246       	-4.82603827e-08
0.0359212       	-1.22211458e-07
0.0410174       	1.65727126e-08
0.0445475       	-3.43175722e-07
0.047304        	5.36166917e-07
0.0503906       	8.19331187e-07
0.0556068       	-3.73204693e-08
0.0605582       	-7.47015392e-08
0.0632689       	-7.89748791e-08
0.0677595       	2.26434585e-08
0.0726137       	2.19764159e-07
0.0775041       	-1.88178119e-08
0.0823167       	-3.06403716e-08
0.087096        	3.52737006e-08
0.0880213       	3.84187331e-07
0.0905217       	8.97318038e-07
0.0940334       	-1.73623728e-07
0.0984264       	6.73204225e-08
0.0993046       	8.07100625e-07
0.0998827       	-8.07865683e-07
0.100014        	-8.41976909e-07
